mata_pelajaran,jam_belajar,nilai_ujian_sebelumnya,jam_tidur,tingkat_ekonomi,tingkat_motivasi,pertemanan,nilai_ujian_rendah_flag,nilai_akhir
Bahasa,2.0260798379274694,59.25221812798112,8.834044782267297,3,3,5,0,61.607787925788756
Seni,1.1819809928840614,76.58647300667536,4.632919064014286,2,4,1,0,77.35198700455541
IPS,6.265915665219978,76.4558404334382,7.824604281080413,4,5,1,0,86.31969900638938
Seni,10.0,59.24917593006364,4.0,3,5,3,0,64.86362600930994
Seni,5.870476274370263,84.3362849636531,5.6863700126301095,1,3,5,0,90.63727268860123
IPA,8.344093764008683,67.48719980005069,5.074428613486012,2,1,3,0,70.70592113502275
IPS,7.267146581578039,67.13791590486186,8.026996869361168,3,2,2,0,72.6027998662934
IPS,3.963327980251828,68.82368249332058,9.49687996587889,4,5,2,0,72.17362437377597
IPS,7.530631961981252,90.0793865579903,8.59317220069596,5,3,1,0,95.40254946249394
Seni,4.04285061697497,86.33429960715101,8.542378252878628,3,4,1,0,92.00574200256277
Bahasa,4.082584260923282,98.24706945679634,5.60289207313617,4,2,1,0,100.0
IPS,4.5828153481273795,78.25715406761135,7.874324269601348,2,2,5,0,82.99903857032723
Agama,4.67760395534574,98.96363480780605,7.359255070123147,4,1,5,0,100.0
Seni,6.322738926372295,73.57162487881321,5.236814123168339,4,3,4,0,79.87594623557005
IPA,3.658226528218389,68.10355943005769,8.6140479718653,2,1,1,0,70.79941964697899
Bahasa,6.778205557165954,63.427976279088064,7.650607325028982,5,5,3,0,74.54687593878187
Agama,6.7494881660629416,67.3569146203025,6.67176592996199,1,5,4,0,79.48678565303716
Agama,5.68592706488897,68.09237474697255,8.23185991379939,5,3,5,0,76.10400318689125
IPA,8.87922381721489,59.71497750007959,7.221922756563121,1,4,5,0,68.5359749013549
Bahasa,7.574785297316617,61.140403979920166,8.801797854578869,1,5,1,0,67.25289103612482
Seni,7.139458580400929,79.11320085453899,9.832035345715894,1,5,3,0,85.8037249884493
Matematika,5.132306749086503,62.678376832927704,6.581282871312665,3,4,3,0,72.6306255087922
Bahasa,5.7035322756286515,44.494262580455946,6.564740415187294,5,2,2,0,52.782370104080215
IPA,6.0476147261755075,43.731300642764076,6.263839461084869,4,3,1,0,48.96120928040833
Agama,5.02648274705521,38.53939849764136,7.0260944041312445,3,2,5,0,47.48472991803776
Seni,4.248861079383058,48.737586328638926,9.026492065403577,2,1,1,0,48.59656408654632
Bahasa,0.18857451424737626,52.00097721535164,5.408589014202242,2,4,1,0,54.49912371630206
Matematika,6.435530818249647,55.38966496592939,4.944363571758037,1,3,2,0,58.610175019879655
